,headline,snippet,pub_date,url
23,Tesla Tumbles as Growth Slows,Shares in Elon Musk’s electric vehicle maker fell sharply after the company delivered lackluster quarterly results and declined to give full-year guidance.,2024-01-25T13:04:37+0000,https://www.nytimes.com/2024/01/25/business/dealbook/tesla-shares-outlook-growth.html
24,How Nevada Is Pushing to Generate Jobs Beyond the Casinos,"Chastened by a series of economic downturns that punished the hospitality industry, state leaders are working to broaden the economy.",2024-02-05T10:02:03+0000,https://www.nytimes.com/2024/02/05/business/economy/nevada-economic-development.html
25,The Big Number: $50 Billion,"After a judge struck down Elon Musk's pay package, Tesla's board must now decide whether to appeal the decision or come up with a new pay plan.",2024-02-02T17:27:44+0000,https://www.nytimes.com/interactive/2024/02/02/business/tesla-musk-pay-package.html
26,Tesla Profit From Car Sales Falls as Price Cuts Hurt,"A tax benefit boosted quarterly earnings, but that masked a decline in earnings from carmaking caused by intensifying competition.",2024-01-24T21:21:45+0000,https://www.nytimes.com/2024/01/24/business/teslas-electric-vehicles-profit-price-cuts.html
27,What Elon Musk Could Lose After His Big Pay Deal Is Blocked,A Delaware court ruling on his $50 billion compensation plan at Tesla raises questions about corporate governance and more.,2024-01-31T13:04:38+0000,https://www.nytimes.com/2024/01/31/business/dealbook/musk-tesla-compensation-delaware.html
28,What China’s E.V. City Says About the State of the Economy,"Hefei has led the country in making electric vehicles and other tech products, but it still has not escaped a nationwide housing crisis.",2024-01-27T10:00:27+0000,https://www.nytimes.com/2024/01/27/business/china-hefei-ev-city-economy.html
29,Musk Demands Bigger Stake in Tesla as Price for A.I. Work,"Elon Musk, the electric car company’s chief executive, said he would “build products outside of Tesla” unless the board raises his stake to 25 percent.",2024-01-16T14:37:28+0000,https://www.nytimes.com/2024/01/16/business/tesla-elon-musk-stock.html
30,These Seven Tech Stocks Are Driving the Market,See how a handful of stocks have had an outsize impact on the performance of the S&P 500,2024-01-22T10:00:20+0000,https://www.nytimes.com/interactive/2024/01/22/business/magnificent-seven-stocks-tech.html
31,Tesla and Volvo to pause production in Europe after Red Sea attacks.,The carmakers said they would suspend production at their plants in Germany and Belgium because of supply chain snarls linked to the attacks in the Red Sea.,2024-01-12T21:20:08+0000,https://www.nytimes.com/2024/01/12/world/middleeast/tesla-volvo-europe-red-sea.html
32,Hertz Will Shrink Electric Fleet After Being Burned by Tesla’s Price Cuts,"The rental car company blamed the sharp drop in the value of electric vehicles and higher repair costs for its decision to sell 20,000 cars.",2024-01-11T21:53:42+0000,https://www.nytimes.com/2024/01/11/business/hertz-electric-vehicles-tesla.html
33,Electric Car Owners Confront a Harsh Foe: Cold Weather,"In freezing temperatures, the batteries of electric vehicles can be less efficient and have shorter range, a lesson many Tesla drivers in Chicago learned this week.",2024-01-17T10:46:04+0000,https://www.nytimes.com/2024/01/17/business/tesla-charging-chicago-cold-weather.html
34,Tesla Recalls 1.6 Million Cars in China to Fix Self-Driving Systems,The recall follows a similar move by the company in the United States to upgrade the cars’ Autopilot feature.,2024-01-05T16:34:44+0000,https://www.nytimes.com/2024/01/05/business/tesla-china-recall.html
35,Tesla Sales Rebound After Steep Price Cuts,The leading U.S. electric-vehicle maker also drew buyers eager to take advantage of government incentives that will be harder to get in 2024.,2024-01-02T13:51:40+0000,https://www.nytimes.com/2024/01/02/business/tesla-fourth-quarter-sales.html
36,Tesla Strike Is a Culture Clash: Swedish Labor vs. American Management,"Workers seeking a collective agreement from the automaker say they are pushing for their rights, but car owners see them as taking the fight too far.",2023-12-27T05:00:22+0000,https://www.nytimes.com/2023/12/27/business/tesla-sweden-strike-labor.html
37,"SpaceX Illegally Fired Workers Critical of Musk, Federal Agency Says",The National Labor Relations Board said the rocket company had wrongly dismissed eight people for a letter raising concerns about the chief executive.,2024-01-03T19:41:27+0000,https://www.nytimes.com/2024/01/03/business/spacex-elon-musk-nlrb-workers.html
38,China Auto Giant BYD Sells More Electric Vehicles Than Ever,"Sales by BYD, the country’s dominant automaker, topped 3 million last year, including 1.6 million fully battery-powered cars. It’s a sign of China’s rapid growth in EVs.",2024-01-01T12:43:30+0000,https://www.nytimes.com/2024/01/01/business/byd-2023-sales.html
39,Tesla Recalls Autopilot Software in 2 Million Vehicles,"Federal regulators pressed the automaker to make updates to ensure drivers are paying attention while using Autopilot, a system that can steer, accelerate and brake on its own.",2023-12-13T14:22:18+0000,https://www.nytimes.com/2023/12/13/business/tesla-autopilot-recall.html
40,What Car Owners Should Know About the Tesla Autopilot Recall,"Under pressure from federal regulators, the company has agreed to recall two million cars to update its driver-assistance system. The cars will be updated over cellular networks.",2023-12-13T20:36:35+0000,https://www.nytimes.com/2023/12/13/business/tesla-recall-what-to-know.html
41,Tesla Is Fighting With Sweden’s Unions. Here’s What to Know.,"The action began with a walkout by mechanics in October, but has spread to include blockades by other unions. Tesla has pushed back through the courts.",2023-12-07T05:02:01+0000,https://www.nytimes.com/2023/12/07/business/tesla-sweden-union.html
42,Fewer Electric Vehicles Will Qualify for Federal Tax Credits in 2024,Purchases of popular models like the Tesla Model 3 and the Ford Mustang Mach-E may no longer entitle buyers to tax savings because the cars do not meet tougher sourcing requirements.,2023-12-16T10:02:06+0000,https://www.nytimes.com/2023/12/16/business/electric-vehicle-tax-credits.html
43,The Big Number: 2 Million,Federal regulators said the automaker had not done enough to make sure that drivers were paying attention while using Autopilot.,2023-12-15T17:02:09+0000,https://www.nytimes.com/interactive/2023/12/15/business/tesla-autopilot-recall.html
44,Pickup or Lunar Lander? Tesla’s Cybertruck Enters a Crowded Market.,"Two years behind schedule, the electric model has an unusual design that sets it apart from rival pickups, which could limit its sales.",2023-11-30T10:03:55+0000,https://www.nytimes.com/2023/11/30/business/tesla-cybertruck-delivery-release.html
45,Ford Will Cut Planned Electric F-150 Production as Demand Slows,Ford and other automakers have had to readjust their electric vehicle production plans because sales have been weaker than they had expected.,2023-12-12T19:15:14+0000,https://www.nytimes.com/2023/12/12/business/ford-f150-lightning-ev.html
46,Tesla Sues Swedish Transport Agency in Dispute Over License Plates,"The electric carmaker sued the agency to deliver license plates for its cars, the latest escalation as a labor fight enters its second month.",2023-11-28T05:01:30+0000,https://www.nytimes.com/2023/11/28/business/tesla-license-plates-sweden-unions.html
47,Unions in Sweden Expand Blockade Against Tesla,"In sympathy with striking mechanics, unions representing dockworkers, electricians and others in the country are refusing to do work for the electric carmaker.",2023-11-17T18:19:49+0000,https://www.nytimes.com/2023/11/17/business/tesla-sweden-strikes.html
48,The Fallout From Musk’s Profanity-Laden Attack on Advertisers Isn’t Over,"Shares in Tesla fell despite the release of the Cybertruck pickup on Thursday, and some brands are still steering clear of X.",2023-12-01T13:31:59+0000,https://www.nytimes.com/2023/12/01/business/dealbook/elon-musk-twitter-tesla-spacex.html
49,"Musk’s Bombshell Warning to Advertisers, and Other Summit Highlights","Artificial intelligence, antisemitism, the 2024 presidential election, war in the Middle East and other big topics that made headlines at this year’s DealBook Summit.",2023-11-30T13:07:53+0000,https://www.nytimes.com/2023/11/30/business/dealbook/musk-dealbook-summit.html
50,U.A.W. Announces Drive to Organize Nonunion Plants,"The United Automobile Workers’ effort, with a long-elusive goal, follows its success in securing big raises in contracts with the Detroit automakers.",2023-11-29T20:00:09+0000,https://www.nytimes.com/2023/11/29/business/uaw-union-organizing.html
51,What to Expect at Today’s DealBook Summit,"Vice President Kamala Harris, Elon Musk, Bob Iger, Jamie Dimon and Tsai Ing-wen, the president of Taiwan, are among the big names speaking.",2023-11-29T12:03:17+0000,https://www.nytimes.com/2023/11/29/business/dealbook/dealbook-summit-harris-musk.html
52,Workers in Sweden Will Expand Strike Against Tesla,Swedish unions are joining in blockades and targeted strikes against the U.S. automaker over its refusal to sign a collective bargaining agreement with its mechanics.,2023-11-07T21:07:32+0000,https://www.nytimes.com/2023/11/07/world/europe/sweden-tesla-strike.html
53,Man vs. Musk: A Whistleblower Creates Headaches for Tesla,An employee who was fired after expressing safety concerns leaked personnel records and sensitive data about driver-assistance software.,2023-11-10T10:02:34+0000,https://www.nytimes.com/2023/11/10/business/tesla-whistleblower-elon-musk.html
54,Job Action Against Tesla Puts Sweden’s Unions in Spotlight,"The automaker’s mechanics in Sweden are striking for a collective agreement, and dockworkers say they will support the battle. Tesla is expected to join the talks on Monday.",2023-11-05T10:01:25+0000,https://www.nytimes.com/2023/11/05/business/economy/tesla-sweden-unions.html
55,Advertisers Push Back at Social Media Firms over Antisemitism,"Companies, celebrities and influencers have taken TikTok and X  — and Elon Musk himself — to task for the rise of hate speech on their platforms since the Oct. 7 Hamas attacks on Israel.",2023-11-17T13:06:41+0000,https://www.nytimes.com/2023/11/17/business/dealbook/x-musk-tiktok-antisemitism-social-media.html
56,Tesla Wins Suit That Blamed Its Software for Deadly Crash,The decision by a California jury is the first involving a fatal accident that lawyers representing the victims said was the fault of Tesla’s self-driving technology.,2023-10-31T17:35:20+0000,https://www.nytimes.com/2023/10/31/business/tesla-autopilot-jury-decision.html
57,"Federal Investigators Widen Tesla Inquiry, Company Says","The Department of Justice has sought documents related to vehicle range and “personal benefits,” Tesla said.",2023-10-23T17:29:14+0000,https://www.nytimes.com/2023/10/23/business/tesla-justice-department-investigations.html
58,"Union Victories May Lift Biden, as U.A.W. Targets Tesla and Others","President Biden’s support for autoworkers helped them make big wage gains, and labor organizers are looking to bring about similar gains elsewhere as carmakers transition to electric vehicles.",2023-10-30T23:03:02+0000,https://www.nytimes.com/2023/10/30/us/politics/biden-uaw.html
59,Tesla’s Profits Plunge 44% After Big Price Cuts,The automaker reported a sharp drop in profits in the third quarter after slashing car prices by around 25 percent in an attempt to compete.,2023-10-18T20:16:26+0000,https://www.nytimes.com/2023/10/18/business/tesla-third-quarter-earnings.html
60,"A New Law Supercharged Electric Car Manufacturing, but Not Sales","President Biden’s 2022 climate act spurred big investments in U.S. battery factories, but it has not similarly boosted E.V. sales.",2023-11-08T10:01:09+0000,https://www.nytimes.com/2023/11/08/business/energy-environment/electric-vehicles-biden.html
61,Bill Ford Says U.A.W. Strike Is Helping Tesla and Toyota,"Mr. Ford, the executive chairman of Ford Motor, said nonunion automakers would make gains against Michigan automakers because of strikes by the United Automobile Workers union.",2023-10-16T18:53:26+0000,https://www.nytimes.com/2023/10/16/business/economy/ford-uaw-strikes-tesla-toyota.html
62,Automakers Delay Electric Vehicle Spending as Demand Slows,"Growth is brisk but slower than expected, causing automakers to question their multibillion-dollar investments in new factories and raising doubts about the effectiveness of federal incentives.",2023-11-07T16:18:32+0000,https://www.nytimes.com/2023/11/07/business/energy-environment/electric-vehicles-sales.html
63,Tesla’s Sales Slip as It Readies Factories for New Models,"Analysts expected a decline in sales for the quarter. Still, the dip may raise concerns about flagging demand.",2023-10-02T13:11:05+0000,https://www.nytimes.com/2023/10/02/business/tesla-third-quarter-sales.html
64,Autoworkers Score Big Wins in New Contracts With Carmakers,"Tentative accords at Ford Motor, General Motors and Stellantis are the most generous in decades, raising costs as the industry shifts to electric vehicles.",2023-10-30T13:55:35+0000,https://www.nytimes.com/2023/10/30/business/economy/gm-uaw-contract-deal.html
65,U.A.W. Says It Aims to Organize Nonunion Auto Plants,"After outlining gains for Ford workers in a live-streamed speech, Shawn Fain, the union president, said he was setting his sights on other automakers.",2023-10-30T00:53:46+0000,https://www.nytimes.com/2023/10/29/business/uaw-ford-contract.html
66,Federal Lawsuit Accuses Tesla of Racial Discrimination,The Equal Employment Opportunity Commission filed a lawsuit accusing the carmaker of mistreating Black employees at its factory in California.,2023-09-28T22:06:59+0000,https://www.nytimes.com/2023/09/28/business/tesla-eeoc-discrimination-black-workers.html
67,What Ford’s Labor Deal Might Mean for the Auto Industry,Car manufacturers must now raise labor costs as they confront slower-than-expected demand for electric vehicles.,2023-10-27T12:13:51+0000,https://www.nytimes.com/2023/10/27/business/dealbook/ford-uaw-labor-electric-vehicles.html
68,Ford’s U.A.W. Deal Will Raise Costs While Easing Labor Strife,A tentative agreement gives union members at the carmaker their best terms in decades but could complicate Ford’s electric vehicle plans.,2023-10-26T17:07:33+0000,https://www.nytimes.com/2023/10/26/business/ford-uaw-contract.html
69,"For Tesla and Musk, Auto Strike Carries Benefits and Risks","Elon Musk, the Tesla chief executive, may be able to exploit his rivals’ weaknesses, but the United Automobile Workers union also has the electric carmaker in its sights.",2023-09-21T16:39:11+0000,https://www.nytimes.com/2023/09/21/business/tesla-musk-auto-union.html
70,Nonunion Workers Are Playing a Big Role in the Autoworkers’ Strike,The three U.S. automakers say they are already at a disadvantage to nonunion rivals while labor leaders hope that big gains in negotiations will inspire workers in Southern states to unionize.,2023-10-23T14:27:34+0000,https://www.nytimes.com/2023/10/23/business/union-nonunion-autoworkers-uaw.html
71,"For Bill Ford, ‘Every Negotiation Is a Roller Coaster’","The executive chair of Ford Motor counsels patience as his company negotiates with the United Automobile Workers union, which has shut three of his company’s plants.",2023-10-18T09:03:51+0000,https://www.nytimes.com/2023/10/18/business/bill-ford-corner-office.html
72,Tesla Optimists Are in Retreat,Investors sent the electric vehicle maker’s shares down sharply in after-hours trading after the company warned about uncertain customer demand.,2022-10-20T12:21:19+0000,https://www.nytimes.com/2022/10/20/business/dealbook/tesla-bulls-share-price-elon-musk.html
73,Tesla Sales in China Slump as Competition Intensifies,Worry about the carmaker’s sales in the world’s largest car market is one reason the shares have plunged.,2023-01-05T15:57:58+0000,https://www.nytimes.com/2023/01/05/business/tesla-china-sales-electric-vehicles.html
74,The Week in Business: Trouble for Tesla?,Inflation recorded another increase; the Fed will probably follow with a new rate bump. And Wells Fargo is under criminal investigation.,2022-06-12T11:00:09+0000,https://www.nytimes.com/2022/06/12/business/the-week-in-business-trouble-for-tesla.html
75,Tesla Bulls Are Back at the Wheel,"Shares in the electric carmaker continued to rally after the company reported strong profits, even amid growing competition and economic pressures.",2023-01-26T12:36:32+0000,https://www.nytimes.com/2023/01/26/business/tesla-profit-stock.html
76,"In a Bad Year for Stocks, Tesla Plunged 65%",Investors blame Elon Musk and wonder how much more the stock will fall.,2022-12-30T20:04:43+0000,https://www.nytimes.com/2022/12/30/business/tesla-stock-elon-musk.html
77,Tesla May Have Already Won the Charging Wars,Deals with Ford and G.M. will make it easier to find a charger but could give Elon Musk control of critical infrastructure.,2023-06-27T07:00:17+0000,https://www.nytimes.com/2023/06/27/business/energy-environment/tesla-gm-ford-charging-electric-vehicles.html
78,Elon Musk’s Distraction Is Just One of Tesla’s Problems,"The maker of electric cars faces sharp competition, plummeting shares and production woes while its chief executive is preoccupied with Twitter.",2022-12-21T16:06:43+0000,https://www.nytimes.com/2022/12/21/business/tesla-elon-musk.html
79,"Tesla’s profits jumped in the first quarter, but challenges loom.",The electric carmaker had to close an important factory in Shanghai because of China’s efforts to stamp out a coronavirus outbreak.,2022-04-20T20:34:10+0000,https://www.nytimes.com/2022/04/20/business/tesla-first-quarter-earnings.html
80,"Tesla Fired Buffalo Workers Seeking to Organize, Union Says","A filing to the National Labor Relations Board called the dismissals retaliatory. The carmaker denied the allegation, saying they were based on performance.",2023-02-16T13:56:18+0000,https://www.nytimes.com/2023/02/16/business/tesla-buffalo-union.html
81,"Elon Musk, Kamala Harris, Jamie Dimon Will Speak at the DealBook Summit","The conference on Nov. 29 will bring together the biggest newsmakers in business, politics and culture.",2023-10-12T11:56:12+0000,https://www.nytimes.com/2023/10/12/business/dealbook/elon-musk-kamala-harris-jamie-dimon-dealbook-summit.html
82,Tesla Prevails Over Most Activist Shareholder Proposals,One proposal from investors that would allow investors to nominate directors to the electric car company’s board was approved.,2022-08-04T15:38:17+0000,https://www.nytimes.com/2022/08/04/business/tesla-elon-musk-activist-investors.html
83,Tesla Sales Surge as Tax Credits Fuel Demand,"Incentives and price cuts made Tesla electric cars cheaper than comparable gasoline models. But the company faces growing competition in China, a key market.",2023-07-02T16:16:50+0000,https://www.nytimes.com/2023/07/02/business/tesla-q2-sales-deliveries.html
84,Tesla Offers a New ‘Master Plan’ but Few Big Revelations,"Elon Musk confirmed his car company would build a factory in Mexico and said it was working on more affordable vehicles. But he did not reveal a new model, disappointing some investors.",2023-03-01T14:28:20+0000,https://www.nytimes.com/2023/03/01/business/tesla-musk-investors.html
85,Tesla Cuts Prices in China in Sign of Slowing Demand,Shares of the company slumped as investors worried about increasing competition.,2022-10-24T16:37:40+0000,https://www.nytimes.com/2022/10/24/business/tesla-china-price-cut.html
86,Musk Warns Tesla Shareholders to Expect “Challenging” Year,"Tesla will not escape the effects of a global economic downturn, Mr. Musk said at the carmaker’s annual meeting. But he insisted Tesla would emerge stronger.",2023-05-16T09:00:22+0000,https://www.nytimes.com/2023/05/16/business/tesla-shareholder-annual-meeting.html
87,Tesla Sales Slow as the Pandemic Hobbles Production,The decline in deliveries by the electric carmaker in the second quarter was the first drop since the beginning of 2020. The main culprit was factory shutdowns in China.,2022-07-02T16:46:01+0000,https://www.nytimes.com/2022/07/02/business/tesla-q2-sales.html
88,Why Musk’s Twitter Bid Has Shaken Tesla Investors,"The chief executive’s debt load, his divided attention and Twitter’s own challenges could all take a toll on his electric-car company.",2022-05-06T09:00:28+0000,https://www.nytimes.com/2022/05/06/business/elon-musk-tesla-twitter.html
89,Tesla’s Pickup Truck Is Coming Soon. Maybe.,"Already two years behind schedule, the Cybertruck has experts wondering how the company will manufacture its unusual stainless steel “exoskeleton.”",2023-02-06T10:00:21+0000,https://www.nytimes.com/2023/02/06/business/teslas-cybertruck-pickup-stainless-steel.html
90,Ford Follows Tesla in Cutting Electric Vehicle Prices,"The automaker reduced the price of the Mustang Mach-E by up to $5,900 after Tesla slashed prices of its cars by as much as 20 percent.",2023-01-30T16:50:57+0000,https://www.nytimes.com/2023/01/30/business/ford-mustang-electric-prices.html
91,Tesla Workers in Buffalo Begin Union Drive,"If successful, the workers who help develop Tesla’s Autopilot driver-assistance system will be the first group at the company to organize.",2023-02-14T16:00:00+0000,https://www.nytimes.com/2023/02/14/business/tesla-buffalo-union-autopilot.html
92,Tesla Wants to Double the Size of Its European Assembly Plant,"The electric automaker wants to produce a million cars a year at its plant near Berlin, a step that would make it Europe’s largest car factory.",2023-07-20T04:00:08+0000,https://www.nytimes.com/2023/07/20/business/tesla-germany-assembly-plant.html
93,Tesla Sales Rose in the First Quarter,The electric car company’s decision to slash prices appears to have offset the effect of higher interest rates.,2023-04-02T16:11:26+0000,https://www.nytimes.com/2023/04/02/business/tesla-first-quarter-electric-car-sales.html
94,Elon Musk Says Tesla Will Build Shanghai Battery Factory,The facility will produce large batteries that will help electric utilities stabilize grids and use more renewable energy.,2023-04-10T01:02:40+0000,https://www.nytimes.com/2023/04/09/business/elon-musk-tesla-shanghai-battery-factory.html
95,Tesla’s Direct Sales Model Helps It Thwart Customer Lawsuits,Sales contracts prevent buyers of the company’s electric cars from pursuing class-action suits if something goes wrong.,2022-12-19T08:00:10+0000,https://www.nytimes.com/2022/12/19/business/tesla-class-action-lawsuit-arbitration.html
96,"Tesla Sold Record 343,000 Vehicles in Third Quarter",The increase from the same period last year comes as competition grows among automakers producing electric vehicles in the United States.,2022-10-02T16:46:50+0000,https://www.nytimes.com/2022/10/02/business/tesla-sales.html
97,Tesla’s Profit Rose in the Second Quarter as Price Cuts Spurred Demand,Elon Musk’s electric car company is facing intensifying competition from newer Chinese automakers and established Western car companies.,2023-07-19T20:20:32+0000,https://www.nytimes.com/2023/07/19/business/tesla-second-quarter-electric-vehicles.html
98,Tesla will cover transportation costs for employee abortions.,"The company recently moved to Texas, which is home to some of the country’s most restrictive abortion laws.",2022-05-06T19:15:08+0000,https://www.nytimes.com/2022/05/06/business/tesla-abortion-costs-texas.html
99,Tesla Will Build Heavy Trucks at a New Factory in Nevada,"The $3.6 billion investment, which also includes a new battery factory, presents a challenge to traditional truck makers that have been slow to sell electric vehicles.",2023-01-24T23:03:18+0000,https://www.nytimes.com/2023/01/24/business/tesla-truck-factory-nevada.html
100,"Tesla’s Sales Jumped in the First Quarter, Bucking Industry Trend Again",The electric carmaker maintained its momentum from last year even as larger automakers continue to struggle with parts shortages.,2022-04-02T16:53:45+0000,https://www.nytimes.com/2022/04/02/business/tesla-sales-electric-vehicles.html
101,"Sustainability Index Drops Tesla, Prompting Insult from Musk",S&P cited racial discrimination claims in deciding to exclude the electric carmaker from a listing of socially responsible companies.,2022-05-18T19:42:39+0000,https://www.nytimes.com/2022/05/18/business/tesla-esg-index-musk.html
102,"Tesla Could Start Making Cars in Mexico Next Year, Governor Says",The governor of Nuevo León said a Tesla official had told him that the company’s plant there would be among its biggest and go up in record time.,2023-03-03T21:56:30+0000,https://www.nytimes.com/2023/03/03/business/energy-environment/tesla-nuevo-leon-mexico-factory.html
103,Tesla Cuts Prices Sharply as It Moves to Bolster Demand,The price reductions in the United States will make more of the company’s electric vehicles eligible for a federal tax credit.,2023-01-13T13:44:50+0000,https://www.nytimes.com/2023/01/13/business/tesla-price-cut.html
104,Tesla’s Profit Dropped Sharply in First Quarter as It Cut Prices,The electric carmaker has reduced prices by thousands of dollars this year to bolster demand and fend off competition.,2023-04-19T20:57:46+0000,https://www.nytimes.com/2023/04/19/business/teslas-earnings-first-quarter.html
105,Elon Musk’s Twitter Role Puts Tesla Board Under New Scrutiny,"Corporate governance experts say the electric-car maker’s directors may need to rein in the chief executive, with whom many have personal ties.",2022-11-22T17:01:00+0000,https://www.nytimes.com/2022/11/22/business/elon-musk-tesla-board-twitter.html
106,Tesla Bulls Brace for a Rough Year Ahead,A huge sell-off wiped billions of dollars from the electric carmaker’s market capitalization on Tuesday. Analysts see more trouble ahead.,2023-01-04T12:55:56+0000,https://www.nytimes.com/2023/01/04/business/dealbook/tesla-bulls-challenges.html
